Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
c6d2798d-4d1b-0502-cfef-0debc0025fd3,2024-11-17,,999-29-6945,,,,Emanuel231,,Goldner995,,,,white,nonhispanic,M,Bellflower  California  US,693 Sauer Bypass,Hemet,California,Riverside County,6065,92582,33.71818855149578,-117.07669427080255,100.00,1712.46,22243
9dfd800a-fc1a-a34c-4289-456f9e777681,1987-05-25,,999-81-7862,S99948590,X21645731X,Mr.,Gaston250,Lyman173,Jacobi462,,,M,white,nonhispanic,M,Santa Cruz  California  US,951 Rice Ramp,Modesto,California,Stanislaus County,6099,95356,37.59357037465448,-121.08207847486665,7532.02,367182.25,7346
3f245704-5e44-3fb8-29a7-d9058fa81b63,2017-04-08,,999-11-7365,,,,German382,Dee580,Kuhn96,,,,white,nonhispanic,M,Anaheim  California  US,923 Hammes Dam,Redondo Beach,California,Los Angeles County,6037,90278,33.832631632420615,-118.4030416000489,26325.53,6381.45,926709
d21ef4b9-5d60-0f59-eef5-ab38ad689b11,2006-10-14,,999-85-3245,S99962754,,Ms.,Maryann106,Retta782,Ebert178,,,,white,nonhispanic,F,Citrus Heights  California  US,608 Kuphal Spur,Hemet,California,Riverside County,6065,92543,33.6743912264365,-116.93311293985839,48432.72,262700.69,94268
c632e6e6-e33b-1560-17df-a6c0be6dd455,1977-07-22,,999-94-8597,S99956168,X77064461X,Mrs.,Yael855,,Willms744,,Abernathy524,D,white,hispanic,F,Sacramento  California  US,619 Miller Common,Santa Ana,California,Orange County,6059,92705,33.785966817592325,-117.82793903412929,17262.59,1154125.43,23069
4e5c55ac-a91b-2a0a-72b6-421a555f1d24,1985-12-01,,999-10-4090,S99910776,X30782643X,Mr.,José Luis472,Sergio619,Sevilla788,,,S,white,hispanic,M,Santo Domingo  National District  DO,920 Hermiston Alley Unit 29,San Francisco,California,San Francisco County,6075,94110,37.70635713735938,-122.44090255147782,38883.32,1128312.80,175942
f9b9c1a0-fde2-3f53-f144-d390b4a7f3e3,1994-11-21,,999-75-4652,S99973823,X8318885X,Mr.,Eduardo902,,Villegas15,,,M,black,hispanic,M,San Juan  Puerto Rico  PR,571 Upton Manor,Victorville,California,San Bernardino County,6071,92392,34.558742713098276,-117.31482862042917,9214.89,922708.94,9399
ffb38a50-82df-a4ac-5110-625a72551c0f,1973-02-12,1993-07-02,999-99-5625,S99913909,X4687833X,Ms.,Catalina187,Carolina179,Delvalle807,,,,black,hispanic,F,Santiago de los Caballeros  Santiago  DO,843 Batz Spur Unit 45,Downey,California,Los Angeles County,6037,90242,33.92888117868388,-118.15556853271642,208567.37,0.00,46643
9756c31b-bea3-97fb-f7d0-5b19aa814416,1998-05-09,,999-20-7491,S99915158,X10667875X,Ms.,Terese90,Drema139,Hahn503,,,,white,nonhispanic,F,Oakland  California  US,663 Reichel Trace,San Jose,California,Santa Clara County,6085,95129,37.307076493017064,-121.86886160029609,90224.10,799131.70,198810
055b9e59-b3d7-4352-d97c-c3fc5af751b6,1985-09-10,,999-56-4369,S99936773,X9207662X,Mrs.,Katie634,Kathleen516,Beer512,,Goldner995,M,asian,nonhispanic,F,Duarte  California  US,106 Reinger Trace,Santa Ana,California,Orange County,6059,92704,33.741713674316394,-117.86218051930018,679316.98,294185.55,71334
846d2f08-f8ee-460d-38a9-f518edeffa19,1986-01-27,,999-61-7888,S99991833,X87540534X,Mrs.,Mayte822,,Téllez750,,Padrón382,M,white,hispanic,F,Buenos Aires  Ciudad de Buenos Aires  AR,856 Marks Avenue,Huron,California,Fresno County,6019,93234,36.14437051832794,-120.12994703165774,155974.46,832544.84,42762
c9f32bc3-42f5-8847-acf5-8f1b82cc9966,2025-03-12,,999-10-7733,,,,Malik994,Josiah310,Hamill307,,,,black,nonhispanic,M,Vallejo  California  US,466 Emard Gateway,South Pasadena,California,Los Angeles County,6037,90042,34.13470086073053,-118.21492141655148,402.69,0.00,70636
